,RM355 ZN14 ZN-T,KIT-OFF ZN10 ZN-T,GUIDANCE ZN11 ZN-T,PRINCIPAL ZN11 ZN-T,RM260B ZN11 ZN-T,RM375 ZN14 ZN-T,RM375-02 ZN-T,RM377-01 ZN18 ZN-T,RM361 ZN20 ZN-T,RM116 ZN06 ZN-T,RM138 ZN09 ZN-T,RM260 ZN11 ZN-T,RM303 ZN14 ZN-T,RM305 ZN14 ZN-T,RM307 ZN14 ZN-T,RM309 ZN-T,RM310 ZN09 ZN-T,RM311 ZN14 ZN-T,RM313 ZN14 ZN-T,RM335 ZN18 ZN-T,RM337 ZN18 ZN-T,RM339 ZN18 ZN-T,RM343 ZN18 ZN-T,RM349 ZN20 ZN-T,RM353 ZN-T,RM373 ZN14 ZN-T,RM379 ZN18 ZN-T,RM137 ZN09 ZN-T,RM139 ZN09 ZN-T,RM201 ZN19 ZN-T,RM203 ZN19 ZN-T,RM205 ZN19 ZN-T,RM207 ZN19 ZN-T,RM211 ZN19 ZN-T,RM215 ZN-T,RM222 ZN-T,RM224 ZN-T,RM225 ZN-T,RM226 ZN-T,RM227 ZN-T,RM228 ZN-T,RM230 ZN-T,RM232 ZN-T,RM237 ZN-T,RM241 ZN-T,RM243 ZN-T,RM245 ZN-T,RM247 ZN-T,RM249 ZN-T,RM251 ZN-T,RM253 ZN-T,RM255B ZN-T,RM364A ZN02 ZN-T,RM364B ZN02 ZN-T,RM267 ZN-T,RM271 ZN-T,RM273 ZN-T,RM301 ZN20 ZN-T,RM320 ZN22 ZN-T,RM323 ZN22 ZN-T,RM325 ZN22 ZN-T,RM326 ZN22 ZN-T,RM328 ZN22 ZN-T,RM345 ZN18 ZN-T,RM347 ZN20 ZN-T,RM351 ZN18 ZN-T,RM357 ZN20 ZN-T,RM359- ZN20 ZN-T,RM365 ZN20 ZN-T,RM367 ZN20 ZN-T,RM369 ZN20 ZN-T,RM370 ZN20 ZN-T,RM377 ZN14 ZN-T,RM381 ZN18 ZN-T,Cafe UV08 ZN08 ZN-T,Cafe UV01 ZN08 ZN-T,Cafe UV14 ZN08 ZN-T,Cafe UV02 ZN08ZN-T,FieldHouse-NE ZN1 ZN-T,FieldHouse-NW ZN1 ZN-T,FieldHouse-SE ZN1 ZN-T,FieldHouse-SW ZN1 ZN-T
2018-12-30 02:15:00,65.51117,70.12924,57.62465,57.96264,66.3725,58.54324,60.2818,62.25391,62.79883,60.01189,56.62302,66.37623,63.96649,62.66904,62.79883,61.68301,64.0736,61.6311,62.72095,57.84262,60.38559,61.34567,61.78683,60.22989,57.32364,58.90652,59.55524,58.64703,56.46732,65.49747,64.32977,63.57727,54.68106,62.63022,59.16209,60.73113,59.22149,59.79948,62.91838,61.85555,59.24867,59.61951,65.77406,59.32862,60.13396,59.7758,60.19718,60.4386,61.89871,61.28013,59.83086,59.1497,64.0184,65.00446,62.24706,63.29312,61.22489,65.70505,56.36353,61.9425,64.12219,65.39368,66.56134,61.50137,60.22989,56.15594,59.60712,61.44946,,58.9584,60.61911,59.81473,58.69891,61.39758,63.78271,63.58588,63.78271,63.58588,56.5625,56.40625,62.1875,57.15625
2018-12-30 02:19:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 02:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75082,,,,,,,,,,,,,
2018-12-30 02:30:00,65.51117,70.12924,57.62465,57.96264,66.3725,58.59512,60.22989,62.30579,62.79883,60.01189,57.79074,66.37623,63.96649,62.56525,62.72095,61.68301,64.17651,61.55325,62.66904,57.84262,60.33368,61.34567,61.9425,60.22989,57.27176,58.9584,59.55524,58.69891,56.98633,65.49747,64.32977,63.57727,54.62915,62.63022,61.8588,59.67636,59.22149,59.99749,63.12377,61.85555,59.24867,59.61951,65.77406,59.32862,60.13396,59.7758,60.19718,60.4386,61.89871,61.28013,59.83086,60.11036,64.07031,65.05637,62.24706,63.29312,61.22489,65.65317,55.61102,61.99442,64.22598,65.49747,66.66516,61.55325,60.2818,56.15594,59.60712,61.44946,58.75082,59.01031,60.61911,59.76285,58.69891,61.44946,63.27661,63.58588,63.27661,63.58588,56.4375,56.40625,62.125,57.09375
2018-12-30 02:30:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 02:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75082,,,,,,,,,,,,,
2018-12-30 02:42:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 02:45:00,65.51117,70.12924,57.62465,57.96264,66.3725,58.64703,60.17801,62.3577,62.79883,60.01189,56.67493,66.37623,63.88867,62.61716,62.77289,61.6311,64.27761,61.60516,62.66904,57.89453,60.43747,61.34567,61.9425,60.2818,57.27176,58.85461,59.55524,58.64703,56.51923,65.39368,64.27789,63.57727,54.733,62.63022,60.05825,59.26287,59.22149,59.99749,63.12377,61.85555,59.24867,59.61951,65.97902,59.32862,60.13396,59.7758,60.19718,60.4386,61.89871,61.28013,59.83086,59.20182,64.07031,65.05637,62.24706,63.29312,61.22489,65.70505,57.06418,62.0463,64.32977,65.60126,66.82086,61.44946,60.22989,56.10406,59.60712,61.44946,,59.01031,60.61911,59.76285,58.69891,61.44946,63.27661,63.58588,63.27661,63.58588,56.375,56.375,62.0,57.09375
2018-12-30 02:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75082,,,,,,,,,,,,,
2018-12-30 02:53:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
